feedback_id,student_id,course_code,rating
1,100006,PSY606,3
2,100007,ECO707,4
3,100008,ART808,5
4,100009,SOC909,2
5,100010,PHL1010,1
6,100011,CSC102,4
7,100012,ENG203,3
8,100013,BIO304,5
9,100014,HIS405,2
10,100015,MTH506,1
11,100016,PSY607,4
12,100017,ECO708,3
13,100018,ART809,5
14,100019,SOC910,2
15,100020,PHL1011,1
16,100021,CSC103,4
17,100022,ENG204,3
18,100023,BIO305,5
19,100024,HIS406,2
20,100025,MTH507,1
21,100001,ENG202,4
22,100012,BIO303,3
23,100022,HIS404,5
24,100007,MTH505,2
25,100018,PSY606,1
26,100024,CSC101,4
27,100015,ENG202,3
28,100006,BIO303,5
29,100017,HIS404,2
30,100023,MTH505,1
31,100009,PSY606,4
32,100020,ECO707,3
33,100011,ART808,5
34,100008,SOC909,2
35,100019,PHL1010,1
36,100025,CSC102,4
37,100016,ENG203,3
38,100021,BIO304,2
39,100024,HIS405,4
40,100029,MTH506,3
41,100003,PSY607,5
42,100014,ECO708,1
43,100020,ART809,4
44,100011,SOC910,2
45,100006,PHL1011,5
46,100017,CSC103,3
47,100022,ENG204,1
48,100028,BIO305,4
49,100002,HIS406,2
50,100013,MTH507,5
51,100009,PSY606,3
52,100025,ECO707,1
53,100016,ART808,4
54,100012,SOC909,2
55,100007,PHL1010,5
56,100018,CSC102,3
57,100023,ENG203,1
58,100005,BIO304,4
59,100001,HIS405,2
60,100010,MTH506,5
61,100026,PSY607,3
62,100017,ECO708,1
