enrollment_id,student_id,course_code,semester,grade
1,100001,CSC101,1,85
2,100002,ENG202,2,92
3,100003,BIO303,1,78
4,100004,HIS404,2,67
5,100005,MTH505,1,98
6,100006,PSY606,2,82
7,100007,ECO707,1,75
8,100008,ART808,2,90
9,100009,SOC909,1,88
10,100010,PHL1010,2,63
11,100011,CSC102,1,95
12,100012,ENG203,2,79
13,100013,BIO304,1,81
14,100014,HIS405,2,87
15,100015,MTH506,1,93
16,100016,PSY607,2,69
17,100017,ECO708,1,84
18,100018,ART809,2,72
19,100019,SOC910,1,99
20,100020,PHL1011,2,80
21,100021,CSC103,1,77
22,100022,ENG204,2,91
23,100023,BIO305,1,86
24,100024,HIS406,2,70
25,100025,MTH507,1,97
26,100001,ENG202,1,89
